input,llm_results
まで見てきた街、特にポーレッジなどはローマ帝国のデクマノスとカルドがあって、ローマ建築の形どおりの道の発達の仕方をしてたんですけども、プーラはこのある丘の周りにローマ帝国の街が発展していったので、あるこのゴールデンゲート界のこの通りでこの丘の方に。,"Gradove koji sam video, posebno onaj kod Požege, imali su rimsko dekumanu i cardu, razvijajući se na način karakterističan za rimske puteve. Međutim, Pula je procvetala oko ovog brda pod uticajem Rimske imperije, sa svom ulicom u prostoru Zlatnih Vrata koja vodi prema brdu."
この中でも一番重要なローマ遺跡はもちろん遠景競技場なんですけどもその他にですね3つの門が残っていてツインゲートは双子門と言われるものですねツインゲートがありましてそして,"Naravno, najvažniji rimski spomenik u ovom području je Kolosej. Međutim, postoje i tri zatvorenja koja su sačuvana: dvostruko zatvoreno poznato kao ""Twin Gate"". Pored Twin Gatea..."
ここで、ここで、うーん、ヘラクレス、ヘラクレス、ヘラクレス,"Evo, evo, hm, Heraklije, Heraklije, Heraklije."
ヘラクレスの門がありまして金の門と言われているんですけどもシェルギウスの門ですね凱旋門がありましてこちらからフォーラムの方に向かっていきます,"Ima Hračklov brv, poznat kao Zlatni brv. Ta je Shergijevi brv. A ima i Trofejni trofaj od kojeg se ulazimo prema Forumu.  

(Note: The translation attempts to convey the original message while adapting it naturally into Croatian cultural context, where direct equivalents for certain terms may not exist.)"
ローマの時代には今皆さんの目の前にあるのが双子門と言われているツインゲートなんですけれどもこのツインゲートのような門ローマ時代には実は7個から10個の門があったというふうに言われていますその中でも3つすごく保存状態の良いまま残っているのがこのプーライに今も残っている双子の門そしてヘラクレスの門そして金の門になるんですけれども今皆さんの目の前にあるのは双子門ツインゲートになっておりますこの中にトンネルがあったりとかローマ帝国の街としての城壁に囲まれた街が存在していました,"U Rimskoj dobi, struktura koja se danas nalazi pred vašim očima poznata je kao Dublje vrata ili dvostruka brana. Međutim, u Rimskom periodu, prema povijesnim izvorima, grad je imao između sedam i deset takvih vrata. Tri od tih struktura su očuvana do sada vrlo dobro. Ona su dvostruka brana u Puli, Herkulejeva brana i Zlatna brana. Struktura koja se danas nalazi pred vašim očima je dvostruka brana ili Dublje vrata. Unutar nje bila je tunela, a grad je bio obuhvaćen rimskim graditeljstvom i gradske zidine."
後に後にこれからローマ帝国のローマの遺跡について説明していくときにあまり細かい年号とかは言わないんですけども皆様に覚えていただきたいのは遠景競技場は,"Kad krenemo dalje s objašnjavanjem rimskih ostataka u Rimu, tada neću navoditi previše tačnih godina. Međutim, želim da vas sve upoznate s jednim važnim detaljem: Amfiteatar Flavijev (Circus Maximus) je...

(Note: The Japanese text appears to be incomplete and may refer to the Circus Maximus rather than a stadium; thus, the translation reflects that understanding. Adjust according to the full context if available.)"
紀元後70年から80年の間に作られたというふうに言われています,Kaže se da je nastalo između 70. i 80. godine nove ere.
遠景競技場なんですけどもローマ時代から残っているのはただ外枠の丸い部分だけで中はローマ時代のものではありませんもともと遠景競技場として作られたんですけどもここからローマ帝国じゃなくなった時に中は倉庫として使われたりとか全部の建物の建材をこちらの方に持ってきてこの壁を作るのに使われたりとか,"To je uistinu daleko gledalište, ali od rimskog doba preživjelo je samo vanjska okvirena kružna struktura; unutrašnjost nije ništa rimsko. Iako je inicijalno dizano kao gledalište, nakon padanja rimske imperije srednji dio se koristio za skladištenje ili su svi građevinski materijali odvukli ovamo kako bi se ova zidina izgrađivala."
その上の壁はローマ時代のものではありません。,Tamo gornji zid nije iz rimskog doba.
見ていただくと分かる通り、ローマ時代のものって、石が大きい。,"Kao što ćete primijetiti, izvori rođeni u Rimskoj dobi često su napravljeni od velikih kamenova."
 サイズで切り取られていてブロックとして使われているんですが中世の時代に建てられたものというのは小さくて細かいブロックになっていますこの部分は早くできるんですけれども技術として高いのはこちらの方,"Izrezani u određene veličine i korišteni kao blokovi, oni iz srednjeg veka su male dimenzije i detaljno ukrašeni. Ovaj dio se može brzo obaviti, ali tehnika koja je zahtjevnija nalazi se na tom drugom dijelu."
ローマ時代は今よりも1.5メートル下に地面があったんですけどもなので想像していただけると分かる通りもっと高かった門なんですねローマ時代の人はもうちょっと,"U doba Rimljana, tlo je bilo približno 1.5 metra niže nego danas, tako da ako to zamislite, moći ćete razumjeti koliko su bile više vrate u to vrijeme. Tadašnji Rimljanin je već imao neku sliku..."
小さいサイズだったら、この建物はとても大きい、偉大なサイズです。,"Ako bi se to zgradilo na manje razinu, onda je to izuzetno velika i impresivna građevina."
こちらがプーラの考古学博物館になります,Ovo je Arheološki muzej u Puli.
こちらのトンネルも降格されていたので、中にオーストラリア派が出てきました。,"Izvinite, morali smo proći kroz ovaj tunel jer je bio smanjen, pa su se pojavili oni koji su više povezani sa Australijom."
19世紀にオーストリア・ハンガリー帝国がここに支配していた時なんですが唯一海とのアクセスがあるところがプーラとベネツィアのところだったんですけどもベネツィアには5万人人が住んでいてオーストリア帝国の支配下になるのはすごく嫌がったんです人も多いので抵抗も激しかったんですけどここプーラで今数千人しか住んでいませんでしたのでここがオーストリア・ハンガリー帝国のオーストリア帝国の,"U 19. stoljeću, kada je Austro-Ugarska carevina bila ovde na vlasti, jedini mjesto s pristupom moru bilo je Pula i Venecija. U Veneciji je živjelo oko 50.000 stanovnika koji su većinom odbijali da budu pod austrijskom vlašću zbog velikog broja ljudi, a otpor je bio vrlo jak. Međutim, u Puli, gdje sada živi samo nekoliko tisuća stanovnika, nije bilo toliko otpora prema austrijskoj vlasti."
