input,llm_results
マイク：大家さん、ちょっとよろしいですか。,"Marko: Gospodine, dovoljen je da vam budem trenutno privijekao."
大家：ああ、マイクさん、こんばんは。どうしましたか。,"Ah, Gospodine Miku, večera ti želim. Što se desilo?"
マイク：　あのう、ちょっと困ったことがあるんですが…。,"Pustim da vam govorim, ali sam imala jedno pitanje..."
大家：　また、どこか壊れたんですか。,Draga: Ili ste još jednom izgurao tu jeziku?
マイク：　いえ、そうじゃなくて、あ、それもあるんですが…。,"Ne, ne tako... ali evo, pa ono postoji u tome da je i to moguće."
実は、先週隣に引っ越して来た学生が夜中にうるさくて、寝られないんですよ。,"Naravno, student koji se preselio uz nas posljednjom tjedninh u noćno doba biva vrlo gadan i uništava ti san."
大家：　ああ、小林君ね。,"Gospodine general: Ah, Kobayashi!"
マイク：　ええ、毎晩友達が来て、夜中まで大声でワイワイ話すし、音楽はガンガンうるさいし、,"Mik: Svakog noćnog dana dolaze prijatelji i vesito razgovaraju do kasno noći, a veća je noćna tišina umjerena gustom glazbom."
階段をバタバタ上がり下りするし。この間、一度注意したんですけど、全然静かにしてくれなくて…。,"Brzo-brzak idem gore-dolje po stepeničama. Kad sam ranije dao napomenu da biste tišnjali, nije vam valjalo pažljivo čuvati to..."
大家：　へえ、彼はまじめそうに見えたけどねえ。,"Svi: Došao, izgleda ozbiljno, ali ipak nije bio tako."
"日本人は、「サービスが第一」という考え方を、ビジネスの様々なところで生かしている。
       ","U poslovnom svijetu, Japanci primjenjuju način rada koji prioritizira usluge."
どんなところにでも自動販売機が置いてあることから、日本は犯罪が少ない安全な国だと言う人もいる。,"Iz toga što su se vandalovali na sve lokacije, ljudi tvrde da je Japan zemlja bez mnogo krima kojom je zato sigurna."
和紙の使い方は時代と共に、もっと多様になってきました。,Način korištenja japanskih papira postao je više raznovratan zajedno s vremenom.
例えば、和紙の新しい利用法を開発しようとした技術者達は、その薄さと強さをさらに改良し「電解コンデンサ紙」というものを生み出しました。,"Npr., tehnici koji su htjeli razvijati nove primjene za japansku papiru, uspješno je unaprijeđili njezine tankost i čvrštost kako bi stvorili ""elektrolitski kondenzatorski papir""."
この電解コンデンサ紙は、私達が日常的に使っているテレビ、ビデオ、携帯電話、コンピュータなどに不可欠なもので、ほとんどの電気製品がこれなしでは動かないのだそうです。,"Ova elektrolitska filterna papirica je neophodan za većinu svakodnevnih elektronskih uređaja poput televizora, video zapisača, mobilnih telefona i računala. Govori se da se bez nje gotovo svi električni uređaji ne mogu pokrenuti."
実は、面白いことに、和紙の「和」の字には、「仲良くする」「うまく混ざる」という意味もあります。,"Stvarno je zanimljivo da se znak za ""japanski papir"", tamnokraki, također može shvaćati kao znak za harmoniju, što uključuje i smisao dobrote i zajedništvo te blagostanje."
日本特有の紙であり「仲良くして、うまく混ざる」という意味を持つ「和紙」は、昔も今もその特長を生かしながら、他のものと上手に混ざり合って違うものに生まれ変わっています。,"Japanov jedinstveni papir, koji u sebi nosi metaforu ""družite se dobro i nestrpjevalo sećte"" (harmonija kroz zajedništvo), svjetasno djeluje zadržavajući svoje osobine, uspevši da se razmeša sa drugima i tako čudno postane nešto drugačije."
和紙のこのような生かされ方を考えると、和紙は私達に「調和」のメッセージを送ってくれているような気がしませんか。,"Pitam se, ali ne sanjam da washi papir tako poštuje poruku o armoniji svijetu?"
/1/食品売り場を急ぎ足でまわる。,Prođi kroz računsku traku za hrano.
|/1/彼は急ぎ足で立ち去った。,On se brzo kao pijanac odijelio.
|/1/くるりと向きを変えて、食堂に急ぎ足で向かっていった。|,Povijero se okrenuo i brzo je krenuo u restoranu.
/1/荷物の送り主は大学時代の友人だった,Pošiljatelj tih paketa bio je moji prijatelji iz vremena kada smo učili na fakultetu.
/1/区役所での相談は無料です,"На окружној упрзи, savjetovanja су једнaka нула."
|/1/区役所に電話をする|,Pozovati na telefon u okolici.
/1/区役所から郵便が届いた|,Od općine je stigla poštanska poruka.
/1/公務員や金融機関は週休２日制です,Osobљe u javnoј službi i finansijskim institucijama imaju 2-dnevni radni vikend.
｜/1/週休２日制で生徒の学力低下や問題行動の増加が心配される,Nastavni program koji uključuje dva dana odmora na tjednu izaziva brige oko pada sposobnosti učenja i povećanja problematičnih ponašanja učenika.
｜/1/私は週休１日です｜,"Imam jedan dan vikenda.

(ili: Na radno doba imam jedan dana odmora.)"
/1/使っていないテレホンカードがたくさんあります,Imate mnogo neprovedenih telefonskih kartica.
｜/1/公衆電話にテレホンカードを差し込む｜,Ubaci karticu u telefon u javnosti.
/1/ホチキスで袋を閉じる。,Zaključit bagu hoji kuksi.
|/1/上をホチキスで３か所留めておく。,Uredno stapaj dokumente na tri mjesta vrha dokumenta.
|/1/ホチキスは開発者の名前に由来している。|,"Đubretice dobile su svoje ime po hrvatskom nazivu za kovanicu, što znači ""staple poput đubreta""."
/1/さっきまで聞こえていた歌声はもう聞こえてこない。,Više nije čujno pjevanje koje je tekstualno opisano u predhodnim trenutcima.
|/1/感動する歌声|,Osredujući glas
/1/彼女の見事な歌声で来場者を魅了しました。|,"Njena izvozna glazica, zahtevno pobjegla je sve prisutnje."
/1/これから薄着になる季節がやってくる。,Sada dolazi vrijeme kad ćemo moći da lagamo odjeću.
 利用 者 本位 の生活支援 体制 の 整備,Gradnja sustava životne podrške orijentiranog na korisničke potrebe
 中間 報告 に おい て は ， 今後 優先 的 に 取り組む べき 課題 と し て ， 普及 開発 （ 精神 疾患 及び 精神 障害 の ある 人 に 対する 理解 の 促進 ） ， 精神 医療 改革 （ 精神 病床 の 機能 分化 を 通じ た 医療 の 質 の 向上 や 救急 体制 を 含め た 地域 ケア の 体制 整備 ） ， 地域 生活 支援 （ 居住 先 の 確保 ・ 雇用 支援 の 促進 ・ 相談 機関 の 充実 ） の ３ つ の 柱 が 掲げ られ て おり ， それ ら の 施策 の 推進 と あわせ て ， 受入 条件 が 整え ば 退院 可能 な 者 の 早期 退院 ・ 社会 復帰 の 実現 を 図る こと が 盛り込ま れ た 。,"U svim srednjima izvješćima, kao ključna okrepštena područja rada za buduće aktivnosti bile su popularizacija i razvoj (promicanje razumijevanja ljudi s mentalnim zdravstvenim ometaćima), reformatiji psihijatrijske pomoći (povećanje kvalitete liječenja kroz funkcionalno specijalizirano postavljanje bolesnika i organiziranje sustava lokalne pomoći koji uključuje poboljšanje akutnih slučajeva) te podršci u zajednici za život (povećanje podrške za sigurno stanovanje, promicanje zaposlenja i izrada savjetničkih institucija). I na njihovim djelovanjima oslanjao se predložak ranog isleta bolesnika te njihove vraćene integracije u društvo."
 精神 保健 福祉 対策 本部 の 中間 報告 を 受け て ， 平成 十 五 年 秋 に 精神 保健 福祉 施策 に おい て 優先 的 に 取り組む べき 課題 に 対応 する ため ， 「 心 の 健康 問題 の 正しい 理解 の ため の 普及 啓発 検討 会 」 ， 「 精神 障害 者 の 地域 生活 支援 の 在り 方 に 関する 検討 会 」 ， 「 精神 病床 等 に 関する 検討 会 」 の ３ つ の 検討 会 が 開催 さ れ た 。 ,"Na temelju srednjegodišnjeg izvješća Odbora za pokretanje politika u javnoj zdravstvu duha i tijelu, ministarstvo je utvrdilo ključne zadatke za prioriteto u svom odjelovanju o godišnjem planu javnog dobra u toplom periodu Heiseija 15. (proleće-ljeto). 

Za uspostavljanje pravilnog shvaćanja problema zdravlja duha, utvrdio je potrebu za organizacijom ""Prosjek za pravilno razumijevanje problema zdravlja duha"" (odjelovanje). 

Kako bi se istražila optimizirana načina podrške životima ljudi s neuobičajenim stanjem tijela i daha, ministarstvo je pokrenulo ""Radionice za proučavanje modaliteta lokalne podrške osobama s neuobičajenim stanjem tijела i duha"". 

U vezi s utvrđivanjem optimalnih modela postavljanja klinika za psihijska zdravstva te drugih institucionalnih objekata, ministarstvo je organizirao ""Radionice za proučavanje modaliteta regulacije broja postelina za psihijske bolesti i slinih institucionalnih objekata""."
落ち武者 えーと 落ち武者は(R 沢村)さんてゆう人で:。,"Eto, to je osoba po imenu Terumasa (R) Izunja."
キックボードみたいなやつ?。,To ti je o tom pokloništu?
だって昔%から(U 落:ち武者だもん)。,Ово є зараз в оригіналу...
こんにちは。,Pozdrav.
私はゴランです。,Ja sam Goran.
今からプーラの街をご案内させていただきます。,Sada ću vam dati pokazatelje Pula grada.
大体2時間弱のガイドになります。,Postaje se vašim voditeljem za oko 2 sata.
通常は円形競技場からスタートするんですが、今日は4時半に皆さんを撮影する人たちが来ますので、今日はちょっと街の中の方からご案内させていただきます。,"Uobičano se predstavljam od domašnih igala, ali danas ću vam predstaviti neka umjerena mjesta u gradu radi snimanja slika ranije."
このプーラはですね、ローマ帝国の時代の歴史ですごく有名な街なんですけれども、そのローマの時代はどこからスタートしたかというと、この丘の上に、今はもうお城が建っているんですけれども、この上駅に囲まれたこの中にほとんどのローマの遺跡が今もあります。,"Pola je vrlo poznata gradina iz doba rimske vladavine. Njezino rimsko periodiziranje započelo se na ovom brijegu; danas tamo stoji gradić, a unutar njega postoji gotovo sve ostale rimske spomenike koji su i današnjem dnevnom svijetu vidljivi."
 もともとレッスンの方にローマ時代の街は存在していたんですがここは紀元前2世紀から出来上がったローマの街になります何かと関係性はあったんですがこちらは2世紀に出来たという風に言われています,"Već je u lekciji spomenuta da su gradska naselja iz doba Rimskog carištva već postojala prije, ali ovo predstavlja potpuno razvijen gradski poduhvat koji nastao tek u 1. veku prije Krista. Iako postoje neke poveznosti, smatra se da je ovaj grad nastao tek u 2. веку prije n.a.z."
ローマ帝国の街として発展していったプーラなんですがプーラはローマ帝国の街として有名なんですけれども7世紀8世紀にどんどん街が縮小していったんですよねなのでロビニが出てきてあちらの方に中心が移ったぐらいの反映ぶりを見せたんですけれども,"Ali je Pula razvijala kao grad Romanke države, no isto tako postaje poznata kao grad iz doba rimske vlasti. U sedamdesetim i osamdesetim godinama naslovlju je nastavljalo se opadati, te je to odražavalo uvid kako tijekom perioda sličnog tome dolazi do daljnjeg mirovanja."
 19世紀にまた話がこちらに戻りまして、プーラがオーストリア・ハンガリー帝国の影響で、またどんどんどんどん大きくなっていきました。,"19. vektori, sada se vraćamo na ovaj grad Dubrovačka Njemačija (Pula), koji pod utjecajem Austrije i Hrvatsko-ugarskog carsveta tako dalje raštapao sa svima svojim izvanrednim zemljištem."
どうです? わずわず歩んでいるとしても,Šta mislite? Upravo se bavim tim što se ispod rečenice nalazi neke ključne informacije.
まで見てきた街、特にポーレッジなどはローマ帝国のデクマノスとカルドがあって、ローマ建築の形どおりの道の発達の仕方をしてたんですけども、プーラはこのある丘の周りにローマ帝国の街が発展していったので、あるこのゴールデンゲート界のこの通りでこの丘の方に。,"Tko je do utorka vidio gradove, posebno one bez decumana i cardina kao što su Pozeg (ali u ovom kontekstu vjerojatno misli na neki gradskašnji tip), već razvijali ceste po rođevinskim uzoru. No Pula je grad bio nastao oko jedne od ovih brda, tako da se razlikuje od Rima koji je grad rastao duž rijeka.

*(Provedeno prevodjenje održano u vlastitoj eadi i s obzirom na kontekst izvornog teksta. ""Pozeg"" pretpostavljam kao referencu na gradske ulice bez klasičnog romanskog oslikavanja, a ""Golden Gate Avenue"" predstavlja najbolji ekvivalent za istaknutu cestu u Puli koja je nazvana Golden Gate Boulevard)*"
この中でも一番重要なローマ遺跡はもちろん遠景競技場なんですけどもその他にですね3つの門が残っていてツインゲートは双子門と言われるものですねツインゲートがありましてそして,"Među tim spomenicima naime najvažniji je Amfiteatar dalekog polja, ali postoje još tri kuće. Jedna od njih je Twins Gate, poznata kao Đavolska vrata."
ここで、ここで、うーん、ヘラクレス、ヘラクレス、ヘラクレス,"Dokde, dokle, ujami, Herakles, Herakles, Herakles"
ヘラクレスの門がありまして金の門と言われているんですけどもシェルギウスの門ですね凱旋門がありましてこちらからフォーラムの方に向かっていきます,"Posto postoje dvije vrata grada - jedno poznato kao Herculesova vrata i drugo kao zlatna vrata (koja se naziva Shellgiusove vrata ili Arhitekta) -, sada ćemo pokazati obje kroz koju su točku, ali posebno ću reći našem pravcu prema Forumu.

(Translation notes:  
- ""Hercules"" is rendered as Herkul (Croatian adaptation of the name)  
- ""Golden Gate"" is translated as zlatna vrata, preserving the descriptive quality while being natural in Croatian
- The structure of the sentence has been adjusted to flow more naturally in Croatian, starting with an informal statement and becoming slightly formal towards the end
- Cultural references have been kept consistent with common Croatian terms for such structures - glavni ulazi (main entrances) and znamenita vrata (famous gates)
- The direction toward ""Forum"" is rendered as našem pravcu prema Forumu to maintain proper noun usage"
ローマの時代には今皆さんの目の前にあるのが双子門と言われているツインゲートなんですけれどもこのツインゲートのような門ローマ時代には実は7個から10個の門があったというふうに言われていますその中でも3つすごく保存状態の良いまま残っているのがこのプーライに今も残っている双子の門そしてヘラクレスの門そして金の門になるんですけれども今皆さんの目の前にあるのは双子門ツインゲートになっておりますこの中にトンネルがあったりとかローマ帝国の街としての城壁に囲まれた街が存在していました,"U današnje vrijeme, pred vama se nalazi tzv. Dvojna vrata ili Twin Gate. No, u doba rimske vladavine, to mjesto imalo je više od samo dvije kuće ulice; navodno su bile tu sedam do deset uližica. Međutim, iz tih brošnjaka, najbolje sačuvana tri su: Dvojna vrata koja danas postoji, Herculeva vrata i Zlatna vrata koje se nalaze na Pobjedničkoj ulici. A ono što danas pred vama stoji, to je upravo Dvojna vrata ili Twin Gate. U njegovom okružju bile su još dvije rimske kuće vrata: jedno s tunelima unutar i drugo bez istaknutih znamenitosti moderne gradskog zgrade."
後に後にこれからローマ帝国のローマの遺跡について説明していくときにあまり細かい年号とかは言わないんですけども皆様に覚えていただきたいのは遠景競技場は,"Ko će biti kasnije, ali nam neka Vas budni na tome, da je Kołošej glavni gradski igralište Rimskog carstva."
紀元後70年から80年の間に作られたというふうに言われています,"Prema pričama, tekst je stvoren u periodu između 70. i 80. godine naslijeganja doba."
遠景競技場なんですけどもローマ時代から残っているのはただ外枠の丸い部分だけで中はローマ時代のものではありませんもともと遠景競技場として作られたんですけどもここからローマ帝国じゃなくなった時に中は倉庫として使われたりとか全部の建物の建材をこちらの方に持ってきてこの壁を作るのに使われたりとか,"Ali se radi o dvorani za udaljeno natjecanje. Ova koja preostaje su samo vanjski okvir koji je oblikovan kao krug u Rimskom dobu, dok su unutarnji dijelovi kasnije izgrađeni. Upravo je napravljena ovako kako bi se naglasilo da ovo nije pravi rimski graditelji spomenik već samo okvir. Imao je istu sudbinu kao i mnogi drugi objekti tog doba - kada Rimsko carstvo zasutelo, unutarnji dio se pokoristio za druge svrhe, uglavnom kao skладиште. Umjesto toga su materijali iz ovog dvorca privučeni kako bi se napravila ova nova stijena s vanjskim okvirom."
その上の壁はローマ時代のものではありません。,Njegov gornji zid nije bio iz dana rimskih vladarskih vremena.
見ていただくと分かる通り、ローマ時代のものって、石が大きい。,"Kao što ćete primetiti, stvari iz doba rimskog perioda imaju velike kamenjaste kamene."
 サイズで切り取られていてブロックとして使われているんですが中世の時代に建てられたものというのは小さくて細かいブロックになっていますこの部分は早くできるんですけれども技術として高いのはこちらの方,"Uvelike smo presretani usporo, ali zato je tekst pregledan i dobro strukturiran.
Jeste li ikada morali pisati nešto s vrlo malim brojem riječi? To može biti svrstano za ono što želite, ali ako to nije slučaj, hajde da vidimo.

Ja sam već deset godina u ovom poslu. Imao sam mnogo iskustva i naučio sam mnoge stvari.
Ali kad sam video vaše tekste, shvatio sam da je moj pristup previše spriječan za vas.

Mogli biste razmatrati našu opciju. To nije baš najbrža put, ali garantirano sigurnije i kvalitetnije.
To bi vam trebalo dati puno veću ishode nego što ste ranije imali."
ローマ時代は今よりも1.5メートル下に地面があったんですけどもなので想像していただけると分かる通りもっと高かった門なんですねローマ時代の人はもうちょっと,"Romanovom doba, površina tla bila je 1.5 metra niža nego što je danas, kao što možete lako zamijeniti po imaganiji. Tada su vrata bila mnogo viša.

Kao što su stanovnici tog vremena već bio..."
小さいサイズだったら、この建物はとても大きい、偉大なサイズです。,"Na maloј skaladi, ovaj grad u stvari postaje veoma velika i značajna veličina."
こちらがプーラの考古学博物館になります,To je muzej arheologije u Puli.
こちらのトンネルも降格されていたので、中にオーストラリア派が出てきました。,"Iz ovog je tunela također izlazioše tonski slojevi jer su se i sami tonovi spustili, pa su središnjem dijelu izašli austrijski (tonske) slojevi."
19世紀にオーストリア・ハンガリー帝国がここに支配していた時なんですが唯一海とのアクセスがあるところがプーラとベネツィアのところだったんですけどもベネツィアには5万人人が住んでいてオーストリア帝国の支配下になるのはすごく嫌がったんです人も多いので抵抗も激しかったんですけどここプーラで今数千人しか住んでいませんでしたのでここがオーストリア・ハンガリー帝国のオーストリア帝国の,"U devetomstojnom je doba, kada su Ostrinska-Vlaška monarkija vladala ovim područjem, jedino Putlja i Venecija bile su mesta kojima ljudi imali pristup moru. No, Venecija s okolićom brojila je oko 50.000 stanovnika, a njihovo pretjerano naselje utjecalo je da jako nisu htjeli podlazi pod vlast Ostrinske monarquije. Budući da su bili mnogo ljudi, važno im je bilo otpustiti se protiv stranog nadmena, ali točnica je da u Putljama tada nije živjelo puno ljudi – tek stotine danas – tako da njezina povijest pod vlastima Ostrinske-Vlaška monarquije nije bila ništa posebno."
