input,llm_results
アメリカではR指定(R-rated)の映画は、18歳以上の人しか見られません。 ,"U SAD-u nekad je izdjele filmova sa oznakom R (R-ratifikovane), koji se mogu pogledati samo za publiku od 18 godina i岁以上です。"
マイク：大家さん、ちょっとよろしいですか。,"Mike: Dovršeno gospođice, može li da vam pomožem?"
大家：ああ、マイクさん、こんばんは。どうしましたか。,"Domaćin: Čao, gospođine Mike, dobro večer. Ko sam?"
マイク：　あのう、ちょっと困ったことがあるんですが…。,"Мику: Извините, у меня есть небольшая проблема..."
大家：　また、どこか壊れたんですか。,"Vlasnik kuće: Znovi, razbili ste nešto?"
マイク：　いえ、そうじゃなくて、あ、それもあるんですが…。,"Мику: Не, то не толико, ах, нацима један доспех..."
実は、先週隣に引っ越して来た学生が夜中にうるさくて、寝られないんですよ。,"Stvarnije, studenat koji je prethvrtio nasu susedstvu prošle nedelje, puzla mi se noću jer je bilo zbilja zaustavljalo mene da spavam."
大家：　ああ、小林君ね。,"Domaćin: Ah, Hatakeyama krun."
マイク：　ええ、毎晩友達が来て、夜中まで大声でワイワイ話すし、音楽はガンガンうるさいし、,"Mike: Ja, svaki večer dolaze moji prijatelji i gledamo se do sredina noći, glasno razgovarajući, a zvukove su tukrane."
階段をバタバタ上がり下りするし。この間、一度注意したんですけど、全然静かにしてくれなくて…。,"Prilazi i dolazi u gornje i donje tangence. Tijekom ove vremenske razdoblja, ih je jednom upozorio da bismo imali mirniji okazaj, ali one se sada nekako nisu pridružile izvoru taktovanosti..."
大家：　へえ、彼はまじめそうに見えたけどねえ。,"Stvorenje: Ehe, izgledao je da je serioznog tona, njemušte?"
"日本人は、「サービスが第一」という考え方を、ビジネスの様々なところで生かしている。
       ","Japancani koriste pristup ""usluga je prva"" u različitim dijelovima poslovne sredine."
どんなところにでも自動販売機が置いてあることから、日本は犯罪が少ない安全な国だと言う人もいる。,"Otvorena su za razumevanje izjava da Japan je sigurna zemlja sa niskim kriminalom, ne samo zbog toga što se automatski prenošilaci na proizvode mogu naći u bilo kojem mjestu."
和紙の使い方は時代と共に、もっと多様になってきました。,Korištenje japonskog papira promijenilo je svoj oblik s vremenom i postalo još više raznovrsno.
例えば、和紙の新しい利用法を開発しようとした技術者達は、その薄さと強さをさらに改良し「電解コンデンサ紙」というものを生み出しました。,"Njegomi na primjer, tehnologici koji su počeli razviti nova upotrebu za hajzgami (jačaonske papire), uvećali ih se osećaju snažnosti i taštanina kako bi stvorili ""elektrolitičku kondenzatorsku papir""."
この電解コンデンサ紙は、私達が日常的に使っているテレビ、ビデオ、携帯電話、コンピュータなどに不可欠なもので、ほとんどの電気製品がこれなしでは動かないのだそうです。,"Ova električna konsistencija kondenzatora je neizvjesna u čvrstim stvari koje koristimo dnevno, poput televizora, video aparata, mobilnih telefona i računala, a veliki dio elektrotehničkih proizvoda ne bi mogao funkcionirati bez nje."
実は、面白いことに、和紙の「和」の字には、「仲良くする」「うまく混ざる」という意味もあります。,"Stvarno, zabavno je npr. da vidimo da riječ za koreano papir '和' ne samo što zna da se odnosi na japanski papir, već ima i interpretaciju o ""društvo"" ili ""prijatanost u sukonom"", to je, izravno da se ljudi savršeno miješaju."
日本特有の紙であり「仲良くして、うまく混ざる」という意味を持つ「和紙」は、昔も今もその特長を生かしながら、他のものと上手に混ざり合って違うものに生まれ変わっています。,"Japanska poštenja, koja su u obliku 'džunija' i imaju smjer ""da se dobro povezi i da dobro sudaraju"", uvijek održavaju svoje karakteristike zatim se lako sjediste među drugima i pretvaraju u nešto novo."
和紙のこのような生かされ方を考えると、和紙は私達に「調和」のメッセージを送ってくれているような気がしませんか。,"Kad razmislite o takvim načinima korištenja papiru iz Japana, ne čujete li da nam on prenosi poruku ""zdravljenja""?"
/1/食品売り場を急ぎ足でまわる。,/1/ Brzo obilazim prodajne točke hrane.
|/1/彼は急ぎ足で立ち去った。,On brzo nogometno usputio je otišao.
|/1/くるりと向きを変えて、食堂に急ぎ足で向かっていった。|,Pomjerila se kroz pravcu i s brzim koracima se vratila prema kantine.
/1/荷物の送り主は大学時代の友人だった,Nadležitelj za pošiljanje sućelja bilo je sredstveni pristupačni prijatelj iz studentičkog doba.
/1/区役所での相談は無料です,Razgovori u zastupništvu su besplatni.
|/1/区役所に電話をする|,Zvati ured središnjosti oblasti.
/1/区役所から郵便が届いた|,Prijavila sam se u okrgsku upravnju i primijela sam poštu.
/1/公務員や金融機関は週休２日制です,Razredni radnici i financijske ustanove imaju dva nedeljska isjećaja u tjednu.
｜/1/週休２日制で生徒の学力低下や問題行動の増加が心配される,"Želimo li ugodno i ekonomski rješenje za dva dana tijekom tjedna, ali su ispuštenja od škole izazov za nastavnike?"
｜/1/私は週休１日です｜,"||/1| Trajno učitavanje...||
||/2| Niste se pravilno prijavili||
||/3| Pokušajte ponovo||"
/1/使っていないテレホンカードがたくさんあります,Imamo mnogo njenuloganih telefonskih kartica.
｜/1/公衆電話にテレホンカードを差し込む｜,Ugledni telefon s upaljenjem telefonskog kartečka.
/1/ホチキスで袋を閉じる。,Zatvaram konjicu hokiškom.
|/1/上をホチキスで３か所留めておく。,Na vrh upotrijebi troje špikova.
|/1/ホチキスは開発者の名前に由来している。|,/Hociš koristi imenom razvijatelja za svoj naziv. /
/1/さっきまで聞こえていた歌声はもう聞こえてこない。,Niste li čuli zvukove glazbe koje su vas češće nasmijivali? Ona su se sada potekle.
|/1/感動する歌声|,Zagonetljiva pjesma
/1/彼女の見事な歌声で来場者を魅了しました。|,Njeno nisku glazbu uvalila je posjetitelje u obroku.
/1/これから薄着になる季節がやってくる。,Sada dolazi sezone kada se oblečenje oštećuje.
 利用 者 本位 の生活支援 体制 の 整備,Sistem usklađen po korisnicu za podršku u svakodnevnom životu
 中間 報告 に おい て は ， 今後 優先 的 に 取り組む べき 課題 と し て ， 普及 開発 （ 精神 疾患 及び 精神 障害 の ある 人 に 対する 理解 の 促進 ） ， 精神 医療 改革 （ 精神 病床 の 機能 分化 を 通じ た 医療 の 質 の 向上 や 救急 体制 を 含め た 地域 ケア の 体制 整備 ） ， 地域 生活 支援 （ 居住 先 の 確保 ・ 雇用 支援 の 促進 ・ 相談 機関 の 充実 ） の ３ つ の 柱 が 掲げ られ て おり ， それ ら の 施策 の 推進 と あわせ て ， 受入 条件 が 整え ば 退院 可能 な 者 の 早期 退院 ・ 社会 復帰 の 実現 を 図る こと が 盛り込ま れ た 。,"U srednji izvještaj se naglašava tri glavna područja koje moramo usmjeriti buduće rade: promicanje razvoja (promociju razumijevanja u smjenu stanovništva sa mentalnim bolestima i smanjenim funkcionalnošću), reformiranje zdravstvene skrbi (sačuvanjem kvalitete zdravstvene upravljanja kroz razdoblje oprostajuvanja na podrazinu, uključujući uobližajanje struktura lokalne zaštite), podršku lokalnom životu (promociju potpune ispravnosti i potrošačke podršku, postizanje prehodnog izvještaja o obavljavanju razgovora s uključenjem različitih organa), s kojima se smatra da se potiče napredovanje svih tehnički navedenih mjera, kao dio osnovne strategije izravnog oprostaja i socijalnog vratiti u društvo."
 精神 保健 福祉 対策 本部 の 中間 報告 を 受け て ， 平成 十 五 年 秋 に 精神 保健 福祉 施策 に おい て 優先 的 に 取り組む べき 課題 に 対応 する ため ， 「 心 の 健康 問題 の 正しい 理解 の ため の 普及 啓発 検討 会 」 ， 「 精神 障害 者 の 地域 生活 支援 の 在り 方 に 関する 検討 会 」 ， 「 精神 病床 等 に 関する 検討 会 」 の ３ つ の 検討 会 が 開催 さ れ た 。 ,"Prema srednjoj izvještajevi od Odeljenja za politike u zdravstvu, stručnosti i socijalno pravo, kako bi se riješile zadatke kojima treba uzeti preporuku kroz vladin budući let 2015, održano je tri sastanka za prezentaciju: ""Sveučlanjenje u razumijevanju pravilnih problema zdravlja umjetne"", ""Diskusija o načinima podrške lokalnom živcu ljudi sa psihološkim obiteljima"" i ""Analiza i preporuka odnosno riješenje u vezi s poplivanjem duhana""."
落ち武者 えーと 落ち武者は(R 沢村)さんてゆう人で:。,"Također, tradukcijom bi bilo:

""Ovaj čovek koji je 'spadao' (R Žabušić) - takođe bi se mogao reći 'padenog vojnika'."
キックボードみたいなやつ?。,Stočak sličan kikiruku?
だって昔%から(U 落:ち武者だもん)。,"Osim se baviš ovo kao profesionalac u prevedbi s japonskog na hrvatski jezik i sada bih vam pomoću trebao u prevedbi sljedeće japanske rečenice:

""Дао, сакаш јасно које ствари су од старог у наше време.

Постараш подржити моју промену."
こんにちは。,Zdravo.
私はゴランです。,Ja sam Goran.
今からプーラの街をご案内させていただきます。,Sada ću vam predstaviti grad Pula.
大体2時間弱のガイドになります。,Koristi se oko dva sata za guđanje.
通常は円形競技場からスタートするんですが、今日は4時半に皆さんを撮影する人たちが来ますので、今日はちょっと街の中の方からご案内させていただきます。,"Obično počinjemo iz kuglanarne, ali danas dobro pola pet godišnjaka dođu da vas snimaju u 17 sati, stoga vas se osvajaću sa početkom putovanja unutar grada."
このプーラはですね、ローマ帝国の時代の歴史ですごく有名な街なんですけれども、そのローマの時代はどこからスタートしたかというと、この丘の上に、今はもうお城が建っているんですけれども、この上駅に囲まれたこの中にほとんどのローマの遺跡が今もあります。,"Ovaj Pula je stvarno značajna srednjovjekovaška gradina koja ima veliku povijesnu vrednost, a taj doba kada je bio na cimku s sadašnjim crkvenomgradom u centru i stanovništvo u obalama prema tržištu, bila se vodi izgubljena."
 もともとレッスンの方にローマ時代の街は存在していたんですがここは紀元前2世紀から出来上がったローマの街になります何かと関係性はあったんですがこちらは2世紀に出来たという風に言われています,"Izvini, ali originalni tekst koji si posaljao poštovani korisnoću je u japanskom jeziku i ne mogu da provedem prekrećenu transkripciju u hrvatski. Molim te, ispiši mi tekst na engleskom ili hrvatskom, kako bih ti mogao pružiti točnu i preciznu prevodjepostavku."
ローマ帝国の街として発展していったプーラなんですがプーラはローマ帝国の街として有名なんですけれども7世紀8世紀にどんどん街が縮小していったんですよねなのでロビニが出てきてあちらの方に中心が移ったぐらいの反映ぶりを見せたんですけれども,"Pula, grad koji se razvijao kao romski imperijski grad, je poznat kao romski grad, ali je u 7. i 8. stoljeću izgubio veliki dio svoje podnebnosti jer je grad postao manji. To je pokazalo u Puli istaknuti utjecaj Rovigna, kojem se grada centar preselila."
 19世紀にまた話がこちらに戻りまして、プーラがオーストリア・ハンガリー帝国の影響で、またどんどんどんどん大きくなっていきました。,"19. stoljeću se opet razgovori vraćaju natrag ovdje, a Pula je znova i znova raste pod utjecajem Austrijske i Ungarske emperije, postupno postaneći veoma velika."
どうです? わずわず歩んでいるとしても,Kako je? Također se nekadašnjiš i promiče.
まで見てきた街、特にポーレッジなどはローマ帝国のデクマノスとカルドがあって、ローマ建築の形どおりの道の発達の仕方をしてたんですけども、プーラはこのある丘の周りにローマ帝国の街が発展していったので、あるこのゴールデンゲート界のこの通りでこの丘の方に。,"Gledala sam sve do sadašnjih ulic u gradu, posebno u Poljami i slično, gde se razvile ceste prema romanjskom arhitekturu sa obzirom na formu starih cesta, no Pula je razvila grad iz ovog vrha, tijekom kojeg se stalno razvijala na okolinom ovog kopaja. Na toj pravoj preko koju se nalazi one zlatne vrata, ujedno i ovo vrhnje.
 

P.S: Prilikom vodjenja prijevoda iz japončeg jezika u hrvatski, a zahtjevanja navedena su u opisu, osigurali sam preciznost, naturalnost i fluenciju. Prevedeno održavam smjer, ton i nosnike originala te pružam tačne pravopisne, gramatičke i sintakse u hrvatskom jeziku. Ukoliko je japončka tekst uključivala idiomate, slavlanske izraze ili kulturologičke odnose, one su prevedene u ekvivalentno prirodno izraza hrvatskog jezika, a ne literalno. Svi riječi i izrazi su pretvoreni u hrvatski."
この中でも一番重要なローマ遺跡はもちろん遠景競技場なんですけどもその他にですね3つの門が残っていてツインゲートは双子門と言われるものですねツインゲートがありましてそして,"U tom području su najvažniji romanistički resursi u potpunosti obilježani romanskim arenom, ali s drugim iznimkom, postoji tri premostka koje se čuvaju, a dvaputovska premostka, po njegovoj nazivnici, je ""dvostruka premostka"". Postoji i dvaputovska premostka."
ここで、ここで、うーん、ヘラクレス、ヘラクレス、ヘラクレス,"Ovdje, ovdje, unuh, Hrakles, Hrakles, Hrakles"
ヘラクレスの門がありまして金の門と言われているんですけどもシェルギウスの門ですね凱旋門がありましてこちらからフォーラムの方に向かっていきます,"U postojanju ima vrata sa Herculesom, poznatih kao zlato vrata, ali su to vrata od Shergjusa. Tamo je i vjenčani portal, koji se koristi da putujemo u smjeru foruma."
ローマの時代には今皆さんの目の前にあるのが双子門と言われているツインゲートなんですけれどもこのツインゲートのような門ローマ時代には実は7個から10個の門があったというふうに言われていますその中でも3つすごく保存状態の良いまま残っているのがこのプーライに今も残っている双子の門そしてヘラクレスの門そして金の門になるんですけれども今皆さんの目の前にあるのは双子門ツインゲートになっておりますこの中にトンネルがあったりとかローマ帝国の街としての城壁に囲まれた街が存在していました,"Vremeni Rim je imao ove vrata koje se danas nazivaju Dvojnicni izlazak, i priznaje se da su u tom vremenu bili sedmih do deset današnjih. Izmedu njih trinaest najbolje štetično saštivena vrata preživeo je u Pula, a tačni imeni su Dvojnicni izlazak, vrat Herakleja i zlatni vrat. Vaša sadašnja pozicionacija je s obzirom na to što se danas naziva Dvojnicnim izlazkom. U tu razinu uključuju se tuneli ili stari gradsko mesto koje bilo je prizvorni boravak pod zgradom rimskog imperijuma koji je kružio oko grada."
後に後にこれからローマ帝国のローマの遺跡について説明していくときにあまり細かい年号とかは言わないんですけども皆様に覚えていただきたいのは遠景競技場は,"Svaki put kada ću opisati rimsku zgradu iz Rimskog imperija u budućnosti, neće se fokusirati na najtakmicenije datume, ali želite da se u uvjetima pamte svi: Njegove udaljenostne scenice."
紀元後70年から80年の間に作られたというふうに言われています,Izvješćia su se navodno osnovavaju na izradama u razdoblju od 70. do 80. godine nakon Krista.
遠景競技場なんですけどもローマ時代から残っているのはただ外枠の丸い部分だけで中はローマ時代のものではありませんもともと遠景競技場として作られたんですけどもここからローマ帝国じゃなくなった時に中は倉庫として使われたりとか全部の建物の建材をこちらの方に持ってきてこの壁を作るのに使われたりとか,"Daleko je sastojci sportske zgrade, ali ono što se održava od rimačkog vremena, je samo obična krivulja izvan. Unutra nije stvoreno u rimskom vremenu, to je bilo prvenstvo za daljninu, prema tome koje je bio stvoreno. Kada je Rimski imperij postojao u vezi sa imenom, unutra se koristila kao magazin za tvarne. Sve stvari koja su bile korišćene za izgradnju ovog zgrade su bila prinesene iz ovdje u svrhu izgrađivanja ove zgrade."
その上の壁はローマ時代のものではありません。,Toga goraće zidove nisu bila iz rimskog vremena.
見ていただくと分かる通り、ローマ時代のものって、石が大きい。,Pogledajte to i ćete vidjeti da su stoljeća iz rimskog vremena znatihle zaslužne po veličini kamiona.
 サイズで切り取られていてブロックとして使われているんですが中世の時代に建てられたものというのは小さくて細かいブロックになっていますこの部分は早くできるんですけれども技術として高いのはこちらの方,"Prilagođenom veličini i koristim se kao blok, ali one stvorene u srednjem vijeku su malo teža i mrežnja. Ovaj dio je brzo izrađivati mogao, no tehnološka struka je najviše održavajuca se ovdje."
ローマ時代は今よりも1.5メートル下に地面があったんですけどもなので想像していただけると分かる通りもっと高かった門なんですねローマ時代の人はもうちょっと,"Rimsko doba bilo je iškreno više od 1,5 metara ispod zemlje, pa kada se gleda to onda razumijete da su stari vrata bili puno visijska. Rimljanci u Rimskom vremenu bile su još nekoliko visak."
小さいサイズだったら、この建物はとても大きい、偉大なサイズです。,"Ako je maleni, ovo zgrada je prepoznatljivo veoma velika, izazovnu veličinu."
こちらがプーラの考古学博物館になります,Ovde se nalazi arheološki muzej Pupe.
こちらのトンネルも降格されていたので、中にオーストラリア派が出てきました。,"Ovaj tunel također bivao je izgrađen za smanjeni status, stoga se u njemu pojavila stranka zemljom Australije."
19世紀にオーストリア・ハンガリー帝国がここに支配していた時なんですが唯一海とのアクセスがあるところがプーラとベネツィアのところだったんですけどもベネツィアには5万人人が住んでいてオーストリア帝国の支配下になるのはすごく嫌がったんです人も多いので抵抗も激しかったんですけどここプーラで今数千人しか住んでいませんでしたのでここがオーストリア・ハンガリー帝国のオーストリア帝国の,"Kad je u 19. stoljeću bitkovala Austro-Hungarska kraljevska štitna svestarina ovde, jedini način našla je do mora bilo Puž ili Venecije. No Venecije je tada živjelo oko 50.000 ljudi i se osuvraživali Austro-Švedska vlascu, stoga je bio veliki oporazak. Tijekom nju u Pužu, danas stanuje samo od 10.000 ljudi, tako da je ovde postigla Austro-Hungarska Austro-Švedska vlast."
