input,llm_results
この電解コンデンサ紙は、私達が日常的に使っているテレビ、ビデオ、携帯電話、コンピュータなどに不可欠なもので、ほとんどの電気製品がこれなしでは動かないのだそうです。,"Papir za elektrolitičke kondenzatore je ključna komponenta za televizore, video, mobilne telefone, računala i druge svakodnevne uređaje, prema čemu se kaže da većina električnih uređaja ne može da radi bez njega."
実は、面白いことに、和紙の「和」の字には、「仲良くする」「うまく混ざる」という意味もあります。,"Naista, zanimljivo je da u nazivu ""washi"" kanji ""和"" ima značenje ""dobro se slagati"" i ""dobro se mešati""."
日本特有の紙であり「仲良くして、うまく混ざる」という意味を持つ「和紙」は、昔も今もその特長を生かしながら、他のものと上手に混ざり合って違うものに生まれ変わっています。,"Papir specifičan za Japan, koji simbolizira ""dobro se slagati i mešati"", uvek je ostajao prilagođen svojim specifičnim osobinama, dok se učinio različitim mešajući se s drugima."
和紙のこのような生かされ方を考えると、和紙は私達に「調和」のメッセージを送ってくれているような気がしませんか。,"Kada se razmisli o ovakvom načinu korишćenja washi, ne smeta li vam da vam šalje poruku o „harmoniji“."
/1/食品売り場を急ぎ足でまわる。,Brzo proći kroz sekciju za hranu.
|/1/彼は急ぎ足で立ち去った。,On je brzo otišao.
|/1/くるりと向きを変えて、食堂に急ぎ足で向かっていった。|,"Brzo se okrenuvši, krenuo je prema jedilnici."
/1/荷物の送り主は大学時代の友人だった,Pošiljatelj pošiljke bio je prijatelj iz vremena fakulteta.
/1/区役所での相談は無料です,Konsultacije u lokalnom uredu su besplatne.
|/1/区役所に電話をする|,Pozvati lokalnu upravu
/1/区役所から郵便が届いた|,Poštala je došla iz lokalnog ureda.
/1/公務員や金融機関は週休２日制です,Javnici i finansijski institucije imaju sustav dva dana vikenda.
｜/1/週休２日制で生徒の学力低下や問題行動の増加が心配される,Sistem dvojeg dnevnog odmora stvara zabrinutost zbog padanja znanja učenika i rasta problematičnog ponašanja.
｜/1/私は週休１日です｜,Imam jedan dan odmora u sedmicu.
/1/使っていないテレホンカードがたくさんあります,Ima puno neiskorištenih telefonskih kartica.
｜/1/公衆電話にテレホンカードを差し込む｜,Ubaciti telefonsku karticu u javni telefon.
/1/ホチキスで袋を閉じる。,Zatvoriti vreću staplerom.
|/1/上をホチキスで３か所留めておく。,Začvori gornji deo štapicem u tri mesta.
|/1/ホチキスは開発者の名前に由来している。|,Hotfix potječe od imena razvijalaca.
/1/さっきまで聞こえていた歌声はもう聞こえてこない。,Glas pjesme koji je do sada čula se više ne čuje.
|/1/感動する歌声|,Sila pjevanja
/1/彼女の見事な歌声で来場者を魅了しました。|,Njen izuzitno pjevanje je začaralo posjetitelje.
/1/これから薄着になる季節がやってくる。,Dođe vrijeme laganih odijela.
 利用 者 本位 の生活支援 体制 の 整備,Ustanoviti sustav podrške za život usmjeren na korisnika
 中間 報告 に おい て は ， 今後 優先 的 に 取り組む べき 課題 と し て ， 普及 開発 （ 精神 疾患 及び 精神 障害 の ある 人 に 対する 理解 の 促進 ） ， 精神 医療 改革 （ 精神 病床 の 機能 分化 を 通じ た 医療 の 質 の 向上 や 救急 体制 を 含め た 地域 ケア の 体制 整備 ） ， 地域 生活 支援 （ 居住 先 の 確保 ・ 雇用 支援 の 促進 ・ 相談 機関 の 充実 ） の ３ つ の 柱 が 掲げ られ て おり ， それ ら の 施策 の 推進 と あわせ て ， 受入 条件 が 整え ば 退院 可能 な 者 の 早期 退院 ・ 社会 復帰 の 実現 を 図る こと が 盛り込ま れ た 。,"U srednjem izvješću je naglašeno tri osnovna cilja koje treba prioritizirati: proširenost i razvoj razumijevanja prema ljudima s psihičkim poremećajima i oboljenjima, reforma psihijatrizma (poboljšanje kvalitete zdravstvenih usluga kroz funkcionalnu diferencijaciju psihičkih kreveta te uređenje sustava regionalne zaštitne podrške koji uključuje hitne službe), te podrška regionalnom životu (osiguranje stana, poticanje zaposlenja, te poticanje konzultativnih institucija). U sklopu promoviranja ovih mjera, osiguravanje uslova za izlazak iz zavoda omogućava ranu izlazak osoba koje mogu ostvariti društvenu reintegraciju."
 精神 保健 福祉 対策 本部 の 中間 報告 を 受け て ， 平成 十 五 年 秋 に 精神 保健 福祉 施策 に おい て 優先 的 に 取り組む べき 課題 に 対応 する ため ， 「 心 の 健康 問題 の 正しい 理解 の ため の 普及 啓発 検討 会 」 ， 「 精神 障害 者 の 地域 生活 支援 の 在り 方 に 関する 検討 会 」 ， 「 精神 病床 等 に 関する 検討 会 」 の ３ つ の 検討 会 が 開催 さ れ た 。 ,"Uzimajući u obzir srednji izveštaj Povratne službe za mentalnu zdravstvenu i socijalnu zaštitu, u jesen 1993. godine su održane tri komisije: „Komisija za širojedinstveno obrazovanje i prosvjetu o pravilnom razumevanju problema mentalnog zdravlja“, „Komisija za način podrške regionalnom životu osoba s psihičkim poremećajima“ i „Komisija za pitanja psihičnih bolnica“, kako bi se odgovorilo na ključne zadatke koji su bili prioriteti u oblasti mentalnog zdravlja i socijalne zaštite u tom periodu."
落ち武者 えーと 落ち武者は(R 沢村)さんてゆう人で:。,"Ehe, Ochimusashi je (R Zawamura) san:"
キックボードみたいなやつ?。,Kako ti to izgleda?
だって昔%から(U 落:ち武者だもん)。,"pa od davnina (U pad: či musha, pa)"
こんにちは。,Zdravo
私はゴランです。,Ja sam Goran.
今からプーラの街をご案内させていただきます。,Sada ću vas uputiti kroz grad Pula.
大体2時間弱のガイドになります。,Voditelj će trajati otprilike 2 sata i malo.
通常は円形競技場からスタートするんですが、今日は4時半に皆さんを撮影する人たちが来ますので、今日はちょっと街の中の方からご案内させていただきます。,"Naravno, obično počinjemo od kružnog stadiona. Danas dolaze ljudi koji će fotografirati svakog od vas u 15:30, pa ću vas danas voditi malo iz središta grada."
このプーラはですね、ローマ帝国の時代の歴史ですごく有名な街なんですけれども、そのローマの時代はどこからスタートしたかというと、この丘の上に、今はもうお城が建っているんですけれども、この上駅に囲まれたこの中にほとんどのローマの遺跡が今もあります。,"Pula je, kako znate, vrlo poznata grad u istoriji Rimskog carstva, a Rimski period počinje na ovom brdu, gdje je sada izgrađen grad, a većina rimskih spomenika još uvijek postoji unutar ovog područja okruženog stanicom na vrhu."
 もともとレッスンの方にローマ時代の街は存在していたんですがここは紀元前2世紀から出来上がったローマの街になります何かと関係性はあったんですがこちらは2世紀に出来たという風に言われています,"U početku je postojao romski grad iz doba Rima u vezi s lekcijom, ali ovaj grad je osnovan u 2. stoljeću prije Krista. Iako je imao neki odnos, rečeno je da je ovaj osnovan u 2. stoljeću prije Krista."
ローマ帝国の街として発展していったプーラなんですがプーラはローマ帝国の街として有名なんですけれども7世紀8世紀にどんどん街が縮小していったんですよねなのでロビニが出てきてあちらの方に中心が移ったぐらいの反映ぶりを見せたんですけれども,"Pula, koja se razvijala kao romski grad, poznata je kao romski grad, međutim u 7. i 8. stoljeću grad je postepeno postajao manji, pa je Rovinj došao, a centar je prešao u to područje, što je pokazivalo takav stupanj refleksije."
 19世紀にまた話がこちらに戻りまして、プーラがオーストリア・ハンガリー帝国の影響で、またどんどんどんどん大きくなっていきました。,"U 19. veku, priča se ponovno vraća ovamo, a Pula je pod uticajem Austro-ugarskog carstva i dalje se sve više i više razvijala."
どうです? わずわず歩んでいるとしても,Kako je? Čak i ako sam samo malo hodim.
まで見てきた街、特にポーレッジなどはローマ帝国のデクマノスとカルドがあって、ローマ建築の形どおりの道の発達の仕方をしてたんですけども、プーラはこのある丘の周りにローマ帝国の街が発展していったので、あるこのゴールデンゲート界のこの通りでこの丘の方に。,"Grad koji sam video, posebno Polje, imao je Decumanus i Cardo, kao u rimskoj arhitekturi, tako da se razvijala ulica u stilu rimske arhitekture, dok je Pula razvijala se grad rimske imperije oko ovog visokog brda, pa je ova ulica u zoni Golden Gate prema tom brdu."
この中でも一番重要なローマ遺跡はもちろん遠景競技場なんですけどもその他にですね3つの門が残っていてツインゲートは双子門と言われるものですねツインゲートがありましてそして,"Od ovih najvažniji rimski spomenici su naravno daljinski stadion, ali osim toga ostaju tri vrata, a dvojnik vrata se zove dvojaka vrata, i imamo i dvojnik vrata."
ここで、ここで、うーん、ヘラクレス、ヘラクレス、ヘラクレス,"Evo, evo, u-u, Herakl, Herakl, Herakl"
ヘラクレスの門がありまして金の門と言われているんですけどもシェルギウスの門ですね凱旋門がありましてこちらからフォーラムの方に向かっていきます,"Vrata Herkula, poznata kao Zlatna vrata, su Vrata Serija. Postoji triumfalna kula ovdje, i idemo prema forumu od ovog mesta."
ローマの時代には今皆さんの目の前にあるのが双子門と言われているツインゲートなんですけれどもこのツインゲートのような門ローマ時代には実は7個から10個の門があったというふうに言われていますその中でも3つすごく保存状態の良いまま残っているのがこのプーライに今も残っている双子の門そしてヘラクレスの門そして金の門になるんですけれども今皆さんの目の前にあるのは双子門ツインゲートになっておりますこの中にトンネルがあったりとかローマ帝国の街としての城壁に囲まれた街が存在していました,"U rimsko doba su se nalazili vrata poznata kao Dvojna vrata, koja danas stoji ispred vas. U rimsko doba se navodilo da je bilo 7 do 10 vrata, a od njih su tri dobro očuvana: Dvojna vrata, Vrata Herakla i Zlatna vrata. Sada se ispred vas nalaze Dvojna vrata. U tom prostoru su postojali tuneli, a grad je bio okružen zidinama kao rimska kolonija."
後に後にこれからローマ帝国のローマの遺跡について説明していくときにあまり細かい年号とかは言わないんですけども皆様に覚えていただきたいのは遠景競技場は,"Kasnije, kada objašnjavam rimskih ruina, neću navoditi detaljne godine, ali želim da se sjećate Koloseuma."
紀元後70年から80年の間に作られたというふうに言われています,Govori se da je stvoren tokom vremena od 70. do 80. godine nakon ere.
遠景競技場なんですけどもローマ時代から残っているのはただ外枠の丸い部分だけで中はローマ時代のものではありませんもともと遠景競技場として作られたんですけどもここからローマ帝国じゃなくなった時に中は倉庫として使われたりとか全部の建物の建材をこちらの方に持ってきてこの壁を作るのに使われたりとか,"Učinjen je da je ovo amfiteatar, ali ono što je ostalo iz rimskog doba su samo vanjski okvir i kružni dio, a unutrašnji dio nije iz rimskog doba. U stvari, ovaj amfiteatar je bio napravljen kao takav, ali kada je Rimski carstvo prestalo postojati, unutrašnji dio je bio korišten kao skladište, a materijal za izgradnju ovog zida je koristio se ovdje."
その上の壁はローマ時代のものではありません。,Zid iznad nije iz romanskog doba.
見ていただくと分かる通り、ローマ時代のものって、石が大きい。,"Kao što možete vidjeti, stvari iz rimačkog doba imaju velike kameni."
 サイズで切り取られていてブロックとして使われているんですが中世の時代に建てられたものというのは小さくて細かいブロックになっていますこの部分は早くできるんですけれども技術として高いのはこちらの方,"Blokovi su rezani prema veličini i korišteni kao blokovi, ali oni koji su izgrađeni u srednjem vijeku su manji i detaljniji. Ova sekcija se može izraditi brže, dok visokoteknološka sekcija nalazi ovdje."
ローマ時代は今よりも1.5メートル下に地面があったんですけどもなので想像していただけると分かる通りもっと高かった門なんですねローマ時代の人はもうちょっと,"U rimsko doba je zemlja bila 1,5 metra niže nego sada, pa ako se predstavite da je bilo više, možete shvatiti da su vrata bile viša. Rimske ljudi su imali vrata više."
小さいサイズだったら、この建物はとても大きい、偉大なサイズです。,"Ako je veličina manja, ovaj zgrada je veoma velika, izuzetna veličina."
こちらがプーラの考古学博物館になります,Ovo je arheološki muzej Pule.
こちらのトンネルも降格されていたので、中にオーストラリア派が出てきました。,"Ovaj tunel je bio snižen, pa su iz njega izišli Australijanski klanovi."
19世紀にオーストリア・ハンガリー帝国がここに支配していた時なんですが唯一海とのアクセスがあるところがプーラとベネツィアのところだったんですけどもベネツィアには5万人人が住んでいてオーストリア帝国の支配下になるのはすごく嫌がったんです人も多いので抵抗も激しかったんですけどここプーラで今数千人しか住んでいませんでしたのでここがオーストリア・ハンガリー帝国のオーストリア帝国の,"U 19. veku, dok je Austrijsko-ugarska monarhija vladala ovim područjem, jedino mjesto s pristupom moru bila je Pula i Venecija. U Veneciji je živjelo pet hiljada ljudi, a da bi se pridružila austrijskoj monarhiji, ljudi su značajno otpuštali, pa su se i intenzivno upravo protivili. Međutim, u Puli je tada živjelo samo stotine ljudi, pa je to područje ušlo u austrijsku monarhiju."
