input,llm_results
|/1/ホチキスは開発者の名前に由来している。|,"Хоћицис носи имао ime poшveta razvojnih.  
- Трансляция: ""Имадзури Хоцзи"" - Имадзури Хоцзи, якое пошло od name разработчика.  

忙しい！  
- Тransliteracija: ""忙しい！"" - Translation: ""Занятен!""  

日本語は話せますか。  
- Тransliteracija: ""日本語は話せますか。"" - Translation: ""Znaš li jezik japone?""/""Počevši što, razmišljaš u japon?""  

昨日は友達と仕事をしました。  
- Тransliteracija: ""昨日は友達と仕事をしました。"" - Translation: ""Jestren s prijateljima smo radili posao.""  

日本語が苦手ですが、面白いです。  
- Тransliteracija: ""日本語が苦手ですが、面白いです。"" - Translation: ""Sam što, moji jezik nije dobr, ali japon jezик je zainteresirao.""  

友達と町まで歩いていきます。  
- Тransliteracija: ""友達と町まで歩いていきます。"" - Translation: ""S prijateljima ćeš ići do nas negde."
/1/さっきまで聞こえていた歌声はもう聞こえてこない。,"The song that was heard until just now is no longer heard.

Pjesma koja je dosljedjivana do posljednjeg trenutka sada nije dosljedjivana."
|/1/感動する歌声|,Песма која dosežda osup
/1/彼女の見事な歌声で来場者を魅了しました。|,Onamašom nagovijetnom plavićima zahvatazurila je sve posetiče.
/1/これから薄着になる季節がやってくる。,Od sada se približava sezon kada ljudi počinju da nosimo leži i večno odašu.
 利用 者 本位 の生活支援 体制 の 整備,Priprema korisnik-orientiranog sistema za životni podrucka
 中間 報告 に おい て は ， 今後 優先 的 に 取り組む べき 課題 と し て ， 普及 開発 （ 精神 疾患 及び 精神 障害 の ある 人 に 対する 理解 の 促進 ） ， 精神 医療 改革 （ 精神 病床 の 機能 分化 を 通じ た 医療 の 質 の 向上 や 救急 体制 を 含め た 地域 ケア の 体制 整備 ） ， 地域 生活 支援 （ 居住 先 の 確保 ・ 雇用 支援 の 促進 ・ 相談 機関 の 充実 ） の ３ つ の 柱 が 掲げ られ て おり ， それ ら の 施策 の 推進 と あわせ て ， 受入 条件 が 整え ば 退院 可能 な 者 の 早期 退院 ・ 社会 復帰 の 実現 を 図る こと が 盛り込ま れ た 。,"U srednjem izveštaju je napomenutо tri ključna podruzhna dela koje trebaju biti prioritirane: prvo, šire razvoj (poboljšanje zajednice prema ličima sa duševnim boleđim iliDuševnim障害), drugo, reforma psihiatrijske zdravotne pomoci (pobjeda funkcionalnosti psihiatrijskih bolnica, uključeći regionalnu opuću i urgentno pomoć), i treće, podpora života u regioni (zaštitу на житlje、 promocijа заработkov， i osnaživanе консульта). Along with advancing these policies, it is emphasized that early discharge and social reintegration should be achieved for individuals whose admission criteria are met."
 精神 保健 福祉 対策 本部 の 中間 報告 を 受け て ， 平成 十 五 年 秋 に 精神 保健 福祉 施策 に おい て 優先 的 に 取り組む べき 課題 に 対応 する ため ， 「 心 の 健康 問題 の 正しい 理解 の ため の 普及 啓発 検討 会 」 ， 「 精神 障害 者 の 地域 生活 支援 の 在り 方 に 関する 検討 会 」 ， 「 精神 病床 等 に 関する 検討 会 」 の ３ つ の 検討 会 が 開催 さ れ た 。 ,"Prihvatając prijavu Згледа за зdravne и социалne паземи за душевните хвороби, од редžmana za duševno zdravje i socijalnu pomoć, koje je načinilo svojo poslедno извještaj, од 15. година на Heisei (jeseni 2003), osigurao je da će se prioritizovati и rukovoditi следećim трема десними temama kako bi se prilištilo потребitilor за duševno zdravje:

1. **Duhovno zdravje očuvanja komisija za правилno разуміване на проблеми:** Организирано је обсъждане за пропаганду и повећаване на осведомljenost о duševnim problemima, их утvrđivanе и изучене.

2. **Комисия за подкрепа на душевno хвори у регионах:** Проведено је обсъждане за размисл за начините како да се подкрепяат дневници и интегрираат у община за лица с duševnim порuchama.

3. **Комисия за psychiatricke лежби:** Проведено је обсъждане за размисл за статуту и бакgrounds на psychiatricke лежби, њихо оптимизiranе и подигraženе.

Ova tri desne teme са одobreна како prioritetni задac за улучшение на duševna и socijalna паземи."
落ち武者 えーと 落ち武者は(R 沢村)さんてゆう人で:。,"Ochimusha, zvan je R. Sawamura."
キックボードみたいなやつ?。,No like skate? Šta je to?
だって昔%から(U 落:ち武者だもん)。,"Ima ih, iz drevних времена је Оши самурай."
こんにちは。,Zdravi.
私はゴランです。,Ja sam Goran.
今からプーラの街をご案内させていただきます。,"Оладар, ја ћу увеселjen pokazati ви grad Pula."
大体2時間弱のガイドになります。,Oko dva satja će biti vaš vodič.
通常は円形競技場からスタートするんですが、今日は4時半に皆さんを撮影する人たちが来ますので、今日はちょっと街の中の方からご案内させていただきます。,"Uobičajeno je da počinjamo od okruljena stadiona, ali danas, jer će fotografoni ljudi doći u 16:30, ćemo se spotkati malo dalje ulicama."
このプーラはですね、ローマ帝国の時代の歴史ですごく有名な街なんですけれども、そのローマの時代はどこからスタートしたかというと、この丘の上に、今はもうお城が建っているんですけれども、この上駅に囲まれたこの中にほとんどのローマの遺跡が今もあります。,"Ovaj grad Pula je pravi značajan istorijski grad iz vremena Rimskog imperija, ali znači, da se pita gdje je počela rimska epoha? Voda je u ovom brjegu, gdje se sada nalazi grad, i okolo stanic, unutra njega su se dozzivili gotovo sve rimske relikije koje postoje danas."
 もともとレッスンの方にローマ時代の街は存在していたんですがここは紀元前2世紀から出来上がったローマの街になります何かと関係性はあったんですがこちらは2世紀に出来たという風に言われています,"Ћео се био и у уроку посв једно римско градче, но ова е град који съществува от 2. стolec pre Krista. Имало ви било и някакво повazниçe между твдите, но този беше построен заоколо 2. век."
ローマ帝国の街として発展していったプーラなんですがプーラはローマ帝国の街として有名なんですけれども7世紀8世紀にどんどん街が縮小していったんですよねなのでロビニが出てきてあちらの方に中心が移ったぐらいの反映ぶりを見せたんですけれども,"Pula je razvijaljena kao rimsko naselje, ali je poznata i danas kao Rimsko naselje. Međutim, u 7. i 8. veku je grad postao sve manji i manji, što se može videti iz toga što je Rovina prekrižila i kad je centar premašio u njegovu favoritismo."
 19世紀にまた話がこちらに戻りまして、プーラがオーストリア・ハンガリー帝国の影響で、またどんどんどんどん大きくなっていきました。,"19. век ponovno su se vratili razговори о Puli, koja je tada rastao под uticaj Austro-Hungarian imperija, sve već i već."
どうです? わずわず歩んでいるとしても,Kao што smo takođe sporo hodimo?
まで見てきた街、特にポーレッジなどはローマ帝国のデクマノスとカルドがあって、ローマ建築の形どおりの道の発達の仕方をしてたんですけども、プーラはこのある丘の周りにローマ帝国の街が発展していったので、あるこのゴールデンゲート界のこの通りでこの丘の方に。,"Stari grada koje smo do sada pristupili, posebno Porec i slične, imaju rimski decurieane i kardo, sto je znacilo da su njihove ulice razvijale se prema rimskom arhitektonskom stilu. Međutim, Pula je istaknuta po topljama oko jedne goredice, jer je grad izrastao okolo nje. Zato i danas postoji ulica koja se zove po ime tih Zlatnih vrata, koja vodi ka tom vršinu."
この中でも一番重要なローマ遺跡はもちろん遠景競技場なんですけどもその他にですね3つの門が残っていてツインゲートは双子門と言われるものですねツインゲートがありましてそして,"Međutim, najbolji spomenik Rimskog carinca u ovom je mjestu međa njega je Colosseum, a takođe su izostaljili tri vrata, među kojima je Twin Gate, koji se takođe zove Double Gate."
ここで、ここで、うーん、ヘラクレス、ヘラクレス、ヘラクレス,"Tamo, tamo, mmm, Herkules, Herkules, Herkules"
ヘラクレスの門がありまして金の門と言われているんですけどもシェルギウスの門ですね凱旋門がありましてこちらからフォーラムの方に向かっていきます,"Herculesovy vrata postoje i su poznate kao Zlatna vrata,ili ćeš li kaži da su to Caesarovи Giulijeva vrata,kao i凯旋門 koje će nas voditi prema Foru."
ローマの時代には今皆さんの目の前にあるのが双子門と言われているツインゲートなんですけれどもこのツインゲートのような門ローマ時代には実は7個から10個の門があったというふうに言われていますその中でも3つすごく保存状態の良いまま残っているのがこのプーライに今も残っている双子の門そしてヘラクレスの門そして金の門になるんですけれども今皆さんの目の前にあるのは双子門ツインゲートになっておりますこの中にトンネルがあったりとかローマ帝国の街としての城壁に囲まれた街が存在していました,"До времена Рима, то што се и днес миšlite за дву врата, казвате ""Твайн Гейтс"", нарикани за дву врата. В римски времена, по това време, беша от 7 до 10 врати, както се изповеće. Сред тези, три врати, които се кибер и досад се зоват: дву врата, която се венча и застани на Пулаj, дву врата; врати на Хераклес (Porta Heraklea); и Златата врата (Porta Aurea). Всеки што се пред ви изповеće е дву врата, Твайн Гейтс. Тамо беша тунели или и ки се и римската столица с крепостите ю ки се обвързан с улиците."
後に後にこれからローマ帝国のローマの遺跡について説明していくときにあまり細かい年号とかは言わないんですけども皆様に覚えていただきたいのは遠景競技場は,"Kada ja u budućnosti opišujemo rimskate pamćanse u Rimu, nećemo se bavi detaljnim godišnjim računima, ali Želim da se sve upamtite jer je tamo gdje rimskata veličanstvenost dosegla vrhunski razmer..."
紀元後70年から80年の間に作られたというふうに言われています,Je rečeno da je napravljeno među 70 i 80. pr.
遠景競技場なんですけどもローマ時代から残っているのはただ外枠の丸い部分だけで中はローマ時代のものではありませんもともと遠景競技場として作られたんですけどもここからローマ帝国じゃなくなった時に中は倉庫として使われたりとか全部の建物の建材をこちらの方に持ってきてこの壁を作るのに使われたりとか,"O ovom što kažete, referišu se do rimskog stadijona koji je prethodio Rimskom imperij. Svakakako, samo vanjska kružnica stadijona je originalna iz rimskog veka, dok su sadašnja prostore unutrasnjih bila重建irana naknadno. Početnu tačku stvaranja ovog objekta kao stadijona jeste, ali kada Rimski imperij padao je, prostorije unutrasnjih su se koristili za spremanje или сreirači se za stavljane materiala koji su služili за gradnja ovog zidă."
その上の壁はローマ時代のものではありません。,Gorji zid nije iz Rimskog doba.
見ていただくと分かる通り、ローマ時代のものって、石が大きい。,"Kao što možete videti, stvari iz rimskog veka imaju velike kamene."
 サイズで切り取られていてブロックとして使われているんですが中世の時代に建てられたものというのは小さくて細かいブロックになっていますこの部分は早くできるんですけれども技術として高いのはこちらの方,"Kao suze izrezane i koristene kao blokovi, ali one iz medievalnog doba su male i detaljne blokove. Ovaj dio se može u kratko vremenu završiti, ali većija tehnička sposobnost je ovde."
ローマ時代は今よりも1.5メートル下に地面があったんですけどもなので想像していただけると分かる通りもっと高かった門なんですねローマ時代の人はもうちょっと,"U rimski vremena je zemlja bila 1,5 metara niža od sadašnjeg nivoa. Zato će se moji pričevi osvajati kad misli šta je to bilo, da će pojmovaćete da je vrata bila još više već. Rimljana su bili još malo viši od nas."
小さいサイズだったら、この建物はとても大きい、偉大なサイズです。,"Ako bi ta stvar bila mala, ovaj zgrada bi bila veoma velika i odlična veličine."
こちらがプーラの考古学博物館になります,Ovo mjesto je arheološki muzej u Puli.
こちらのトンネルも降格されていたので、中にオーストラリア派が出てきました。,"Tunel je također bio ponižen, što znači da su iz njegovog prostora pojavili se austraška frakacija."
19世紀にオーストリア・ハンガリー帝国がここに支配していた時なんですが唯一海とのアクセスがあるところがプーラとベネツィアのところだったんですけどもベネツィアには5万人人が住んでいてオーストリア帝国の支配下になるのはすごく嫌がったんです人も多いので抵抗も激しかったんですけどここプーラで今数千人しか住んでいませんでしたのでここがオーストリア・ハンガリー帝国のオーストリア帝国の,"19 веком kada je osmanska turska taifa bio na vrhу, био је едва личи у море са пристаништа Пула и Венеција. Токп Венециjата имао 50 000 жителите, а когато турската удмълjenня је постигнало да се върде репресиони, беше много мулт и упореджен. Венециjанците не сахотели да се подчинят Острия, която го прави ентитете за натиска и притеснението беше изключително зле, но тута Пула имао само макар 2000 жители. Това беше причина защо Острия се фокусирава на Пула и навећа се върде да я прихваща, не зная како да се справи с Венециjата и натиска на мултите жители."
