input,llm_results
"日本人は、「サービスが第一」という考え方を、ビジネスの様々なところで生かしている。
       ",Hranitelji smatraju da je usluga na prvom mjestu i često to primjenjuju u različitim poslovnim situacijama.
どんなところにでも自動販売機が置いてあることから、日本は犯罪が少ない安全な国だと言う人もいる。,"Neki tvrde da je Japan siguran i s malo kriminaliteta, s obzirom na to da su automatski prodavaonice dostupne u svim uglovima."
和紙の使い方は時代と共に、もっと多様になってきました。,Korištenje papiра promijenilo se kroz povijest i sada je mnogo raznolikije.
例えば、和紙の新しい利用法を開発しようとした技術者達は、その薄さと強さをさらに改良し「電解コンデンサ紙」というものを生み出しました。,"Inženjeri su pokušavali razviti nove načine korištenja papiра od vluna, i to su dodatno poboljšali svoju tankost i čvrstoću, što je rezultiralo stvaranjem “elektrolitičnoga papira”."
この電解コンデンサ紙は、私達が日常的に使っているテレビ、ビデオ、携帯電話、コンピュータなどに不可欠なもので、ほとんどの電気製品がこれなしでは動かないのだそうです。,"Ovaj elektrolitički kondenzator, papir, neophodan je za sve one elektroničke proizvode koje svakodnevno koristimo, poput televizora, videoaparata, mobilnih telefona i računala, a većina električnih uređaja jednostavno ne može funkcionirati bez njega."
実は、面白いことに、和紙の「和」の字には、「仲良くする」「うまく混ざる」という意味もあります。,"Zapravo, zanimivo je to što znak ""和"" u papi ima i značenje ""prijateljsko"" ili ""dobro se slažući""."
日本特有の紙であり「仲良くして、うまく混ざる」という意味を持つ「和紙」は、昔も今もその特長を生かしながら、他のものと上手に混ざり合って違うものに生まれ変わっています。,"Washi, tradicionalni japanski papir, koji se prepoznaje po svojoj specifičnosti i značenju ""dobro se miješa i ukusno se spaja"", oduvek se koristi koristeći svoje karakteristike, dok se sada i dalje transformiše u nešto sasvim novo, savršeno se miješajući sa drugim materijalima."
和紙のこのような生かされ方を考えると、和紙は私達に「調和」のメッセージを送ってくれているような気がしませんか。,"Razmišljam da, uzimajući u obzir način na koji se ovo ručno obrađuje i priprema, vapise široko šire poruku o ""harmoniji""."
/1/食品売り場を急ぎ足でまわる。,Brzo se preoručava među policama s hranom.
|/1/彼は急ぎ足で立ち去った。,Ubrzano je napustio mjesto.
|/1/くるりと向きを変えて、食堂に急ぎ足で向かっていった。|,Okretala se okolo i ubrzano je krenula prema restoranu.
/1/荷物の送り主は大学時代の友人だった,Posiljao je stvari svom sugrađaniku iz studentskih dana.
/1/区役所での相談は無料です,Obraćanje u općinskom uredu je besplatno.
|/1/区役所に電話をする|,Nazvati upravu po koju.
/1/区役所から郵便が届いた|,Primio sam/la poštanski paket iz općinskog ureda.
/1/公務員や金融機関は週休２日制です,Službenici i financijske institucije imaju dva dana odmora tjedno.
｜/1/週休２日制で生徒の学力低下や問題行動の増加が心配される,"Razmišljaju o mogućnosti smanjenja broja radnih dana na tjedan dana, zbog zabrinutosti zbog propuštanja znanja učenika i povećanja problema s ponašanjem."
｜/1/私は週休１日です｜,Ja sam odsutan/odsutna jedan dan u tjednu.
/1/使っていないテレホンカードがたくさんあります,"Imam puno starih, netrebnih telefonskih kartica."
｜/1/公衆電話にテレホンカードを差し込む｜,Nazvati javnu telefonsku kućicu s karticom za poziv.
/1/ホチキスで袋を閉じる。,Zalijepite torbu šrafima.
|/1/上をホチキスで３か所留めておく。,Zatvaračem zadrži papir tako da bude 3 puta pričvršćen klamerama.
|/1/ホチキスは開発者の名前に由来している。|,Šivač je dobavljen od imena svog tvornog direktora.
/1/さっきまで聞こえていた歌声はもう聞こえてこない。,"Glas koji je do prije čula, sada se više ne čuje."
|/1/感動する歌声|,Zadrhtao sam od čuda.
/1/彼女の見事な歌声で来場者を魅了しました。|,Zaslužila je ovacije svojim iznimnim vokalom.
/1/これから薄着になる季節がやってくる。,Dolazi vrijeme kada ćemo nositi tanje odjeće.
 利用 者 本位 の生活支援 体制 の 整備,Razvoj sustava potpore za život usmjerenog na korisnika.
 中間 報告 に おい て は ， 今後 優先 的 に 取り組む べき 課題 と し て ， 普及 開発 （ 精神 疾患 及び 精神 障害 の ある 人 に 対する 理解 の 促進 ） ， 精神 医療 改革 （ 精神 病床 の 機能 分化 を 通じ た 医療 の 質 の 向上 や 救急 体制 を 含め た 地域 ケア の 体制 整備 ） ， 地域 生活 支援 （ 居住 先 の 確保 ・ 雇用 支援 の 促進 ・ 相談 機関 の 充実 ） の ３ つ の 柱 が 掲げ られ て おり ， それ ら の 施策 の 推進 と あわせ て ， 受入 条件 が 整え ば 退院 可能 な 者 の 早期 退院 ・ 社会 復帰 の 実現 を 図る こと が 盛り込ま れ た 。,"U izvješću se navodi da se, među ostalim, kao prioritetno zadatak nastavlja raditi na promicanju razumijevanja prema osobama s mentalnim bolesnostima i smetnjama, reformi mentalne njege (uključujući poboljšanje kvalitete zdravlja i uspostavu lokalnih sustava skrbi) te podršci životu na otvorenom (poticanje osiguravanja smještaja, podrška zapošljavanju i poboljšanje usluga savjetovanja). Također, u izvješću se naglašava i cilj ranog izlječenja i ponovnog uvođenja u društvo osoba koje su pod uvjetima kada su ispunjeni određeni uvjeti,  izlječene i koje je moguće vratiti iz bolnice."
 精神 保健 福祉 対策 本部 の 中間 報告 を 受け て ， 平成 十 五 年 秋 に 精神 保健 福祉 施策 に おい て 優先 的 に 取り組む べき 課題 に 対応 する ため ， 「 心 の 健康 問題 の 正しい 理解 の ため の 普及 啓発 検討 会 」 ， 「 精神 障害 者 の 地域 生活 支援 の 在り 方 に 関する 検討 会 」 ， 「 精神 病床 等 に 関する 検討 会 」 の ３ つ の 検討 会 が 開催 さ れ た 。 ,"Na temelju dobivenih izjava, održali su se tri ekspertne skupine: ""Skupina za širenje svijesti i edukaciju o mentalnom zdravlju"", ""Skupina za razmatranje o kvaliteti života osoba s mentalnim bolestnima"" i ""Skupina za razmatranje o psihijatrijskim bolnicama i sličnim ustanovama."
落ち武者 えーと 落ち武者は(R 沢村)さんてゆう人で:。,"Znaš, znali ste, znali smo, znali smo... Znaš, bio si jedan od onih koji su bili u redu. Znaš, jedan od onih koji su bili... ""U redu""."
キックボードみたいなやつ?。,Što si mislio/la na kickboard?
だって昔%から(U 落:ち武者だもん)。,Znam da sam bio ratnik još od malena.
こんにちは。,Dobar dan.
私はゴランです。,Ja sam Goran.
今からプーラの街をご案内させていただきます。,Sada ću vas voditi kroz grad Pule.
大体2時間弱のガイドになります。,Očekujte vodič koji traje otprilike sat i trideset minuta.
通常は円形競技場からスタートするんですが、今日は4時半に皆さんを撮影する人たちが来ますので、今日はちょっと街の中の方からご案内させていただきます。,"Obično počinju s okruglim atletskim terenima, ali danas zbog toga što će poslije u 4.30 sati dolaziti osobe koje će vas fotografirati, danas ću vas voditi iz sredine grada."
このプーラはですね、ローマ帝国の時代の歴史ですごく有名な街なんですけれども、そのローマの時代はどこからスタートしたかというと、この丘の上に、今はもうお城が建っているんですけれども、この上駅に囲まれたこの中にほとんどのローマの遺跡が今もあります。,"Ovo je povijesna lokacija, odnosno povijesna je točka, koja se odnosi na vrijeme Rimskog Carstva, i vrlo je poznata jer je bila sjajna gradska oaza. Tadašnje Rimsko Carstvo započinjalo je s ovom brdom, a na tom brdu, gdje sada stoji utvrda, nalazi se većina rimskih ostataka u tom području."
 もともとレッスンの方にローマ時代の街は存在していたんですがここは紀元前2世紀から出来上がったローマの街になります何かと関係性はあったんですがこちらは2世紀に出来たという風に言われています,"Original to izvorno je bila lekcija, ali ovo mjesto je nastalo od prvog rimskog grada, počevši od 2. stoljeća prije Krista. Smatra se da je bilo povezanoga s mnogim stvarima, dok je to mjesto nastalo u 2. stoljeću, kako se pripisuje."
ローマ帝国の街として発展していったプーラなんですがプーラはローマ帝国の街として有名なんですけれども7世紀8世紀にどんどん街が縮小していったんですよねなのでロビニが出てきてあちらの方に中心が移ったぐらいの反映ぶりを見せたんですけれども,"Pula je počela rasti i razvijati se kao rimska utvrda, a danas je poznata kao grad Rimskog Carstva. Međutim, tijekom 7. i 8. stoljeća, grad se postupno smanjivao, nakon čega je pojavila seovina i središnjica se slegla na tom području."
 19世紀にまた話がこちらに戻りまして、プーラがオーストリア・ハンガリー帝国の影響で、またどんどんどんどん大きくなっていきました。,"U 19. stoljeću su priče ponovno dolazile iz naše zemlje, a Puola (Poljska) je nastavijala je rast pod utjecajem Austro-ugarske monarhije."
どうです? わずわず歩んでいるとしても,Što misliš? Iako samo malo hodam.
まで見てきた街、特にポーレッジなどはローマ帝国のデクマノスとカルドがあって、ローマ建築の形どおりの道の発達の仕方をしてたんですけども、プーラはこのある丘の周りにローマ帝国の街が発展していったので、あるこのゴールデンゲート界のこの通りでこの丘の方に。,"Ovaj grad, posebno Poreč i okolica, podsećaju na rimske decumane i Cardum, a ulice su razvijene u skladu sa rimskim arhitektonskim stilom. Međutim, Pula je prošla kroz razvoj gradova u okolini ovog brda, tako da je danas poznata po ovom dijelu Golden Gate-a i ulicama koje vode ka tom brdu."
この中でも一番重要なローマ遺跡はもちろん遠景競技場なんですけどもその他にですね3つの門が残っていてツインゲートは双子門と言われるものですねツインゲートがありましてそして,"Naravno, među ovim, najvažniji rimski amfiteatar je, naravno, stadion za daljine, ali uz to postoje i još tri ulaza, a dvojni ulaz poznat je kao ""dvostruki ulaz""."
ここで、ここで、うーん、ヘラクレス、ヘラクレス、ヘラクレス,"Evo, evo, hm, Herakle, Herakle, Herakle"
ヘラクレスの門がありまして金の門と言われているんですけどもシェルギウスの門ですね凱旋門がありましてこちらからフォーラムの方に向かっていきます,"Ima zidin poznate kao Herkulesova vrata, također se nazivaju zlatnim vratima, a zatim i vrata Šeljuks. Ove su se vrata, također, zovu Vrata pobjede. Idi pravac prema forumu odavde."
ローマの時代には今皆さんの目の前にあるのが双子門と言われているツインゲートなんですけれどもこのツインゲートのような門ローマ時代には実は7個から10個の門があったというふうに言われていますその中でも3つすごく保存状態の良いまま残っているのがこのプーライに今も残っている双子の門そしてヘラクレスの門そして金の門になるんですけれども今皆さんの目の前にあるのは双子門ツインゲートになっておりますこの中にトンネルがあったりとかローマ帝国の街としての城壁に囲まれた街が存在していました,"U staroj Rimu, danas se na mjestu gdje ste vi, nalazi tzv. blizanci, odnosno dvostruki ulaz. Tradicionalno se govori da je u staroj Rimu postojao čak sedam do deset ulaza, a među njima se čuva pet ulaza u izvornom stanju. Među njima su blizanci, ulaz u Herkulovo ime i Zlatni ulaz. Sadašnjeg ulaza u obliku blizanaca, zvanog dvostruki ulaz, i dalje je prisutan, zajedno s tunelima i gradskim zidinama koje su obavijale grad Rimskog carstva."
後に後にこれからローマ帝国のローマの遺跡について説明していくときにあまり細かい年号とかは言わないんですけども皆様に覚えていただきたいのは遠景競技場は,"Kada objasnim o ruinskom stadionu Rimskog Carstva, neću posebno naglašavati sitne godine, ali želim da se sjetite da je Veliki stadion bio"
紀元後70年から80年の間に作られたというふうに言われています,Izgovara se da je ovo napravljeno između 70. i 80. godine naše ere.
遠景競技場なんですけどもローマ時代から残っているのはただ外枠の丸い部分だけで中はローマ時代のものではありませんもともと遠景競技場として作られたんですけどもここからローマ帝国じゃなくなった時に中は倉庫として使われたりとか全部の建物の建材をこちらの方に持ってきてこの壁を作るのに使われたりとか,"Ovo je natjecanje u daljinu, ali su ostaci samo vanjskog kruga, a unutrašnjost nije iz romana. Originalno je napravljen kao natjecalište za bacanje diska, a nakon što su se odrekli Rimskog carstva, korišten je kao skladište, a zidove su napravili od materijala s tih zgrada."
その上の壁はローマ時代のものではありません。,Taj gornji prg nije iz rimskog doba.
見ていただくと分かる通り、ローマ時代のものって、石が大きい。,"Vidjet ćete to kada vidite, stvari iz rimskog doba imaju velike kamene."
 サイズで切り取られていてブロックとして使われているんですが中世の時代に建てられたものというのは小さくて細かいブロックになっていますこの部分は早くできるんですけれども技術として高いのはこちらの方,"Ovo je dio koji se može brzo dovršiti, ali je kao tehnika visoka, na tom dijelu."
ローマ時代は今よりも1.5メートル下に地面があったんですけどもなので想像していただけると分かる通りもっと高かった門なんですねローマ時代の人はもうちょっと,"Sigurno je da su Rimljani mislili da je kapitulacijski portić znatno niže, kako je nekako izgledalo, ali zapravo je bio puno viši."
小さいサイズだったら、この建物はとても大きい、偉大なサイズです。,"Ako je ova zgrada u manjoj veličini, tada je iznimno velika i impozantna."
こちらがプーラの考古学博物館になります,Ovo će biti Arheološki muzej Purola.
こちらのトンネルも降格されていたので、中にオーストラリア派が出てきました。,"Zanimljivo je da je i ovaj tunel bio smanjen, pa je tamo izašao i netko s australijskim uvjerenjima."
19世紀にオーストリア・ハンガリー帝国がここに支配していた時なんですが唯一海とのアクセスがあるところがプーラとベネツィアのところだったんですけどもベネツィアには5万人人が住んでいてオーストリア帝国の支配下になるのはすごく嫌がったんです人も多いので抵抗も激しかったんですけどここプーラで今数千人しか住んでいませんでしたのでここがオーストリア・ハンガリー帝国のオーストリア帝国の,"U vrijeme kada ovo područje bila je pod kontrolom Austro-ugarske Monarhije, jedino što je imalo pristup moru bili su Pula i Benetke. U Benetkama živjelo je oko 50 tisuća ljudi, a mnogi su se protivili austrijske uprave, pa je otpor bio izuzetno jak. Danas u Puli živi tek nekoliko tisuća ljudi."
