input,translation,llm_results
彼は料理が上手で、特にパスタが得意です。,"On dobro kuha, posebno je dobar s tjesteninom.","On je pripremateljski uočen, a posebno je dobar kod pica."
図書館で静かに本を読みました。,Tiho sam čitao knjigu u knjižnici.,U knjižanu sam taktično čitao knjige.
雨の日には家で音楽を聞くのが好きです。,Volim slušati glazbu kod kuće kad pada kiša.,Vjerojatno ćete voljeti slušati glazbu kod kuće tijekom vlažnih danova.
クロアチアの料理はとても美味しいです。,Hrvatska kuhinja je jako ukusna.,Jelo iz Hrvatske je vrlo ukusno.
友達が作ったケーキは甘すぎました。,Torta koju je prijatelj napravio bila je preslatka.,Prisjedbenički prijatelj je napravio tropsku tortu.
旅行に行く前に荷物を準備しました。,Pripremio sam prtljagu prije putovanja.,Pre putovanja izradili sam naporke.
彼女は毎日ピアノを練習しています。,Ona svaki dan vježba klavir.,Ona svakodnevno uči klavir.
昨日の夜は星がとてもきれいでした。,Sinoć su zvijezde bile jako lijepe.,Noć je prošla sveučestvom zvijezda koja su bila prelijepa.
空港までタクシーで行きました。,Do zračne luke sam išao taksijem.,Ulazao sam u taksi i doošao do zračnog Prelude.
彼はクロアチアのサッカーチームが好きです。,On voli hrvatsku nogometnu reprezentaciju.,On voli hrvatski nogometni tim.
休日には家族と一緒に料理をします。,Za praznike kuham s obitelji.,Napusti radno vrijeme obično godišnjaju s obitelji i gotovim u kući.
私は新しいカメラを買いたいと思っています。,Razmišljam kupiti novi fotoaparat.,Želim naručiti novu slikečku.
彼は来年日本に留学する予定です。,On planira iduće godine studirati u Japanu.,Planirajući se osvoboditi ruke od tvrtke.
美術館で多くの絵を見ました。,U muzeju sam vidio mnogo slika.,Gledao sam mnoge slike u muzeju.
彼女は旅行中にたくさんの写真を撮りました。,Ona je snimila mnogo fotografija tijekom putovanja.,Ona je snimila veliko število slika tukaj na poti.
あのカフェ、まじで雰囲気いいよね、イストラっぽくて最高。,"Onaj kafić ima stvarno dobru vibru, baš podsjeća na Istru.","Taj kafić, stvarno je ugodan atmosferi, jako istinski Istrijanski, bio bi se prilično savršen."
昨日ロヴィニで食べたパスタ、ガチでうまかったわ。,Tjestenina koju sam jučer jeo u Rovinju bila je stvarno odlična.,"Včerajski pasta koji je jedla u Rovinju, bio je istinski dobar."
プーラの夜景、エモすぎて泣きそうだった。,Noćni prizor Pule bio je toliko emotivan da sam skoro zaplakao.,"Noć u Pulli, bilo bi miješao s ljubavlju i žalosno da bih se stalno lačio."
イストラの海、やばいくらい透明だった。,More u Istri bilo je nevjerojatno bistro.,"Jezero Istrije bio je tako njenuljivo, da bi se mogao pretpostaviti da je stvarni."
あのトリュフパスタ、コスパ良すぎてびっくりした。,Ta tjestenina s tartufima bila je nevjerojatno povoljna.,"Taj truffali pasta, bio je vrlo udaran za novac, stigao mi se do gornjeg."
地元の人と話したけど、まじでフレンドリーだった。,"Razgovarao sam s lokalnim ljudima, stvarno su bili ljubazni.",Razgovarala sam s ljudima iz oblasti i oni su istinu su bili vrlo prijateljski.
モトヴンの坂道、足パンになったけど景色最高だった。,"U Motovunu su me noge ubile od penjanja, ali pogled je bio nevjerojatan.","Motovnska ulaznica, noge su mi se potpuno izgubile ali je pogled bio najbolji."
イストラのワイン、まじでクセになる味だった。,Istarsko vino imalo je stvarno neodoljiv okus.,"Vino iz Istre, isto je bilo predivno i ukusan."
ロヴィニの夕日、インスタ映えすぎた。,Zalazak sunca u Rovinju bio je savršen za Instagram.,"Sunce u Rovinu je bilo prekrasno, premeštanog na Instagram."
地元の市場で食べたオリーブ、やばいくらい美味しかった。,Masline koje sam probao na lokalnoj tržnici bile su nevjerojatno ukusne.,"Olivije koji sam u lokalnom tržištu ukrasio, bile su istaknutih."
プーラの円形劇場、写真よりリアルの方が断然すごい。,Arena u Puli uživo izgleda puno bolje nego na slikama.,"Pulaanski ciklusni teatar, stvarajuci sličnosti realiji je prepoznatljivo izvrsnija."
友達とポレッチでカフェ巡りしたけど、全部おしゃれだった。,S prijateljem sam obilazio kafiće u Poreču i svi su bili jako šarmantni.,"Sjedili sam s prijateljem i prošli smo kafe u Polachi, ali sve je bilo vrlo stilizirano."
クロアチアの海辺でチルするの、最高すぎる。,Opustiti se na hrvatskoj obali je savršeno.,U hrabnom zalivu u Hrvatskoj je najizvrsnije.
イストラの料理、ほんとにレベチだった。,Istarska kuhinja je stvarno bila na drugoj razini.,"Istrijanska hranica, stvarno je bile Rebćine."
バレの街、観光客少なくて穴場だったわ。,Grad Bale bio je prava skrivena lokacija bez turista.,"Važna gradina, kroz koju prolazi malo turista, bila je manata mjesta."
地元の人におすすめされた店、マジで当たりだった。,Restoran koji su mi preporučili lokalci bio je pun pogodak.,"Preporučili mi je lokalni ljudi, a ta crvena mesta jednostavno su bila iscrpljujuća."
ブリオニ島、静かでリゾート感ハンパなかった。,Brijuni su bili mirni i nevjerojatno luksuzni.,"Brioni otok, miran i turistički osjećaj nisuljast."
イストラの道、レンタカーで走るの気持ちよすぎた。,Vožnja iznajmljenim autom kroz Istru bila je predivna.,"Putanja do Istre, bilo je tužno krenuti s iznajmljenim kromčicom."
ロヴィニの旧市街、雰囲気ありすぎて時間忘れた。,Stari grad Rovinja bio je toliko čaroban da sam izgubio pojam o vremenu.,"Stari grad u Rovinu, atmosfera je bila nesamoglasna do kraja vremena."
プーラの夜風、心地よくて眠くなった。,Noćni povjetarac u Puli bio je tako ugodan da sam postao pospan.,"Noćna vjetra Pulji, ugodno sam spavala."
